year,to_country,song,place_final,points_final,performer
2004,Albania,The Image Of You,7,106,Anjeza Shahini
2004,Germany,Can't Wait Until Tonight,8,93,Max
2004,Bosnia & Herzegovina,In The Disco,9,91,Deen
2004,Spain,Para Llenarme De Ti,10,87,Ramón
2004,Russia,Believe Me,11,67,Julia Savicheva
2004,Malta,On Again... Off Again,12,50,Julie & Ludwig
2004,Croatia,You Are The Only One,12,50,Ivan Mikulic
2004,North Macedonia,Life,14,47,Tose Proeski
2004,France,A Chaque Pas,15,40,Jonatan Cerrada
2004,United Kingdom,Hold On To Our Love,16,29,James Fox
2004,Poland,Love Song,17,27,Blue Cafe
2004,Romania,I Admit,18,18,Sanda Ladosi
2004,Iceland,Heaven,19,16,Jónsi
2004,Netherlands,Without You,20,11,Re-union
2004,Austria,Du Bist,21,9,Tie Break
2004,Belgium,1 Life,22,7,Xandee
2004,Ireland,If My World Stopped Turning,22,7,Chris Doran
2004,Norway,High,24,3,Knut Anders Sørum
2005,Greece,My Number One,1,230,Helena Paparizou
2005,Malta,Angel,2,192,Chiara
2005,Romania,Let Me Try,3,158,Luminita Anghel & Sistem
2005,Israel,Hasheket Shenish'ar,4,154,Shiri Maymon
2005,Latvia,The War Is Not Over,5,153,Walter & Kazha
2005,Moldova,Boonika Bate Doba,6,148,Zdob şi Zdub
2005,Serbia & Montenegro,Zauvijek Moja,7,137,No Name
2005,Switzerland,Cool Vibes,8,128,Vanilla Ninja
2005,Norway,In My Dreams,9,125,Wig Wam
2005,Denmark,Talking To You,9,125,Jakob Sveistrup
2005,Croatia,Vukovi Umiru Sami,11,115,Boris Novkovic feat. Lado members
2005,Hungary,Forogj Világ,12,97,NOX
2005,Turkey,Rimi Rimi Ley,13,92,Gülseren
2005,Bosnia & Herzegovina,Call Me,14,79,Feminnem
2005,Russia,Nobody Hurt No One,15,57,Natalia Podolskaya
2005,Albania,Tomorrow I Go,16,53,Ledina Celo
2005,North Macedonia,Make My Day,17,52,Martin Vucic
2005,Cyprus,Ela Ela,18,46,Constantinos Christoforou
2005,Sweden,Las Vegas,19,30,Martin Stenmarck
2005,Ukraine,Razom Nas Bahato,19,30,Greenjolly
2005,Spain,Brujería,21,28,Son de sol
2005,United Kingdom,Touch My Fire,22,18,Javine
2005,France,Chacun Pense à Soi,23,11,Ortal
2005,Germany,Run & Hide,24,4,Gracia
2006,Finland,Hard Rock Hallelujah,1,292,Lordi
2006,Russia,Never Let You Go,2,248,Dima Bilan
2006,Bosnia & Herzegovina,Lejla,3,229,Hari Mata Hari
2006,Romania,Tornero,4,172,Mihai Traistariu
2006,Sweden,Invincible,5,170,Carola
2006,Lithuania,We Are The Winners,6,162,LT United
2006,Ukraine,Show Me Your Love,7,145,Tina Karol
2006,Armenia,Without Your Love,8,129,André
2006,Greece,Everything,9,128,Anna Vissi
2006,Ireland,Every Song Is A Cry For Love,10,93,Brian Kennedy
2006,Turkey,Superstar,11,91,Sibel Tüzün
2006,North Macedonia,Ninanajna,12,56,Elena Risteska
2006,Croatia,Moja tikla,12,56,Severina
2006,Norway,Alvedansen,14,36,Christine Guldbrandsen
2006,Germany,"No, No, Never",14,36,Texas Lightning
2006,Switzerland,If We All Give A Little,16,30,Six4One
2006,Latvia,I Hear Your Heart,16,30,Cosmos
2006,Denmark,Twist Of Love,18,26,Sidsel Ben Semmane
2006,United Kingdom,Teenage Life,19,25,Daz Sampson
2006,Moldova,Loca,20,22,Arsenium & Natalia Gordienko
2006,Spain,Bloody Mary,21,18,Las Ketchup
2006,France,Il était Temps,22,5,Virginie Pouchin
2006,Israel,Ze Hazman,23,4,Eddie Butler
2006,Malta,I Do,24,1,Fabrizio Faniello
2007,Serbia,Molitva,1,268,Marija Šerifović
2007,Ukraine,Dancing Lasha Tumbai,2,235,Verka Serduchka
2007,Russia,Song # 1,3,207,Serebro
2007,Turkey,Shake It Up Shekerim,4,163,Kenan Dogulu
2007,Bulgaria,Water,5,157,Elitsa Todorova & Stoyan Yankulov
2007,Belarus,Work Your Magic,6,145,Dmitry Koldun
2007,Greece,Yassou Maria,7,139,Sarbel
2007,Armenia,Anytime You Need,8,138,Hayko
2007,Hungary,Unsubstantial Blues,9,128,Magdi Rúzsa
2007,Moldova,Fight,10,109,Natalia Barbu
2007,Bosnia & Herzegovina,Rijeka Bez Imena,11,106,Marija Sestic
2007,Georgia,Visionary Dream,12,97,Sopho
2007,Romania,"Liubi, Liubi, I Love You",13,84,Todomondo
2007,North Macedonia,Mojot Svet,14,73,Karolina
2007,Slovenia,Cvet Z Juga,15,66,Alenka Gotar
2007,Latvia,Questa Notte,16,54,Bonaparti.lv
2007,Finland,Leave Me Alone,17,53,Hanna Pakarinen
2007,Sweden,The Worrying Kind,18,51,The Ark
2007,Germany,Frauen Regieren Die Welt,19,49,Roger Cicero
2007,Spain,I Love You Mi Vida,20,43,NASH
2007,Lithuania,Love Or Leave,21,28,4Fun
2007,France,L'amour à La Française,22,19,Les Fatals Picards
2007,United Kingdom,Flying The Flag (for You),22,19,Scooch
2007,Ireland,They Can't Stop The Spring,24,5,Dervish
2008,Russia,Believe,1,272,Dima Bilan
2008,Ukraine,Shady Lady,2,230,Ani Lorak
2008,Greece,Secret Combination,3,218,Kalomira
2008,Armenia,"Qele, Qele",4,199,Sirusho
2008,Norway,Hold On Be Strong,5,182,Maria
2008,Serbia,Oro,6,160,Jelena Tomašević feat. Bora Dugic
2008,Turkey,Deli,7,138,Mor ve Ötesi
2008,Azerbaijan,Day After Day,8,132,Elnur & Samir
2008,Israel,The Fire In Your Eyes,9,124,Boaz
2008,Bosnia & Herzegovina,Pokušaj,10,110,Laka
2008,Georgia,Peace Will Come,11,83,Diana Gurtskaya
2008,Latvia,Wolves Of The Sea,12,83,Pirates Of The Sea
2008,Portugal,Senhora Do Mar (Negras Águas),13,69,Vânia Fernandes
2008,Iceland,This Is My Life,14,64,Euroband
2008,Denmark,All Night Long,15,60,Simon Mathew
2008,Spain,Baila El Chiki Chiki,16,55,Rodolfo Chikilicuatre
2008,Albania,Zemrën E Lamë Peng,17,55,Olta Boka
2008,Sweden,Hero,18,47,Charlotte Perrelli
2008,France,Divine,19,47,Sébastien Tellier
2008,Romania,Pe-o Margine De Lume,20,45,Nico & Vlad
2008,Croatia,Romanca,21,44,Kraljevi Ulice & 75 Cents
2008,Finland,Missä Miehet Ratsastaa,22,35,Teräsbetoni
2008,Germany,Disappear,23,14,No Angels
2008,Poland,For Life,24,14,Isis Gee
2008,United Kingdom,Even If,25,14,Andy Abraham
2009,Norway,Fairytale,1,387,Alexander Rybak
2009,Iceland,Is It True?,2,218,Yohanna
2009,Azerbaijan,Always,3,207,AySel & Arash
2009,Turkey,Düm Tek Tek,4,177,Hadise
2009,United Kingdom,It's My Time,5,173,Jade Ewen
2009,Estonia,Rändajad,6,129,Urban Symphony
2009,Greece,This Is Our Night,7,120,Sakis Rouvas
2009,France,Et S'il Fallait Le Faire,8,107,Patricia Kaas
2009,Bosnia & Herzegovina,Bistra Voda,9,106,Regina
2009,Armenia,Jan Jan,10,92,Inga & Anush
2009,Russia,Mamo,11,91,Anastasia Prikhodko
2009,Ukraine,Be my Valentine! (Anti-crisis Girl),12,76,Svetlana Loboda
2009,Denmark,Believe Again,13,74,Brinck
2009,Moldova,Hora Din Moldova,14,69,Nelly Ciobanu
2009,Portugal,Todas As Ruas Do Amor,15,57,Flor-de-lis
2009,Israel,There Must Be Another Way,16,53,Noa & Mira Awad
2009,Albania,Carry Me In Your Dreams,17,48,Kejsi Tola
2009,Croatia,Lijepa Tena,18,45,Igor Cukrov feat. Andrea
2009,Romania,The Balkan Girls,19,40,Elena
2009,Germany,Miss Kiss Kiss Bang,20,35,Alex Swings Oscar Sings!
2009,Sweden,La Voix,21,33,Malena Ernman
2009,Malta,What If We,22,31,Chiara
2009,Lithuania,Love,23,23,Sasha Son
2009,Spain,La Noche Es Para Mí (The Night Is For Me),24,23,Soraya
2009,Finland,Lose Control,25,22,Waldo's People
2010,Germany,Satellite,1,246,Lena
2010,Turkey,We Could Be The Same,2,170,maNga
2010,Romania,Playing With Fire,3,162,Paula Seling & Ovi
2010,Denmark,In A Moment Like This,4,149,Chanée & N'evergreen
2010,Azerbaijan,Drip Drop,5,145,Safura
2010,Belgium,Me And My Guitar,6,143,Tom Dice
2010,Armenia,Apricot Stone,7,141,Eva Rivas
2010,Greece,OPA,8,140,Giorgos Alkaios & Friends
2010,Georgia,Shine,9,136,Sofia Nizharadze
2010,Ukraine,Sweet People,10,108,Alyosha
2010,Russia,Lost And Forgotten,11,90,Peter Nalitch & Friends
2010,France,Allez Olla Olé,12,82,Jessy Matador
2010,Serbia,Ovo Je Balkan,13,72,Milan Stanković
2010,Israel,Milim,14,71,Harel Skaat
2010,Spain,Algo Pequeñito,15,68,Daniel Diges
2010,Albania,It's All About You,16,62,Juliana Pasha
2010,Bosnia & Herzegovina,Thunder and Lightning,17,51,Vukašin Brajić
2010,Portugal,Há Dias Assim,18,43,Filipa Azevedo
2010,Iceland,Je Ne Sais Quoi,19,41,Hera Björk
2010,Norway,My Heart Is Yours,20,35,Didrik Solli-Tangen
2010,Cyprus,Life Looks Better In Spring,21,27,Jon Lilygreen & The Islanders
2010,Moldova,Run Away,22,27,Sunstroke Project & Olia Tira
2010,Ireland,It's For You,23,25,Niamh Kavanagh
2010,Belarus,Butterflies,24,18,3+2
2010,United Kingdom,That Sounds Good To Me,25,10,Josh
2011,Azerbaijan,Running Scared,1,221,Ell/Nikki
2011,Italy,Madness Of Love,2,189,Raphael Gualazzi
2011,Sweden,Popular,3,185,Eric Saade
2011,Ukraine,Angel,4,159,Mika Newton
2011,Denmark,New Tomorrow,5,134,A Friend In London
2011,Bosnia & Herzegovina,Love In Rewind,6,125,Dino Merlin
2011,Greece,Watch My Dance,7,120,Loucas Yiorkas feat. Stereo Mike
2011,Ireland,Lipstick,8,119,Jedward
2011,Georgia,One More Day,9,110,Eldrine
2011,Germany,Taken By A Stranger,10,107,Lena
2011,United Kingdom,I Can,11,100,Blue
2011,Moldova,So Lucky,12,97,Zdob și Zdub
2011,Slovenia,No One,13,96,Maja Keuc
2011,Serbia,Čaroban,14,85,Nina
2011,France,Sognu,15,82,Amaury Vassili
2011,Russia,Get You,16,77,Alexej Vorobjov
2011,Romania,Change,17,77,Hotel FM
2011,Austria,The Secret Is Love,18,64,Nadine Beiler
2011,Lithuania,C'est Ma Vie,19,63,Evelina Sašenko
2011,Iceland,Coming Home,20,61,Sjonni's Friends
2011,Finland,Da Da Dam,21,57,Paradise Oskar
2011,Hungary,What About My Dreams?,22,53,Kati Wolf
2011,Spain,Que Me Quiten Lo Bailao,23,50,Lucía Pérez
2011,Estonia,Rockefeller Street,24,44,Getter Jaani
2011,Switzerland,In Love For A While,25,19,Anna Rossinelli
2012,Sweden,Euphoria,1,372,Loreen
2012,Russia,Party For Everybody,2,259,Buranovskiye Babushki
2012,Serbia,Nije Ljubav Stvar,3,214,Željko Joksimović
2012,Azerbaijan,When The Music Dies,4,150,Sabina Babayeva
2012,Albania,Suus,5,146,Rona Nishliu
2012,Estonia,Kuula,6,120,Ott Lepland
2012,Turkey,Love Me Back,7,112,Can Bonomo
2012,Germany,Standing Still,8,110,Roman Lob
2012,Italy,L'Amore È Femmina (Out Of Love),9,101,Nina Zilli
2012,Spain,Quédate Conmigo,10,97,Pastora Soler
2012,Moldova,Lăutar,11,81,Pasha Parfeny
2012,Romania,Zaleilah,12,71,Mandinga
2012,North Macedonia,Crno I Belo,13,71,Kaliopi
2012,Lithuania,Love Is Blind,14,70,Donny Montell
2012,Ukraine,Be My Guest,15,65,Gaitana
2012,Cyprus,La La Love,16,65,Ivi Adamou
2012,Greece,Aphrodisiac,17,64,Eleftheria Eleftheriou
2012,Bosnia & Herzegovina,Korake Ti Znam,18,55,Maya Sar
2012,Ireland,Waterline,19,46,Jedward
2012,Iceland,Never Forget,20,46,Greta Salóme & Jónsi
2012,Malta,This Is The Night,21,41,Kurt Calleja
2012,France,Echo (You And I),22,21,Anggun
2012,Denmark,Should've Known Better,23,21,Soluna Samay
2012,Hungary,Sound Of Our Hearts,24,19,Compact Disco
2012,United Kingdom,Love Will Set You Free,25,12,Engelbert Humperdinck
2012,Norway,Stay,26,7,Tooji
2013,Denmark,Only Teardrops,1,281,Emmelie de Forest
2013,Azerbaijan,Hold Me,2,234,Farid Mammadov
2013,Ukraine,Gravity,3,214,Zlata Ognevich
2013,Norway,I Feed You My Love,4,191,Margaret Berger
2013,Russia,What If,5,174,Dina Garipova
2013,Greece,Alcohol Is Free,6,152,Koza Mostra feat. Agathon Iakovidis
2013,Italy,L'Essenziale,7,126,Marco Mengoni
2013,Malta,Tomorrow,8,120,Gianluca
2013,Netherlands,Birds,9,114,Anouk
2013,Hungary,Kedvesem,10,84,ByeAlex
2013,Moldova,O Mie,11,71,Aliona Moon
2013,Belgium,Love Kills,12,71,Roberto Bellarosa
2013,Romania,It's My Life,13,65,Cezar
2013,Sweden,You,14,62,Robin Stjernberg
2013,Georgia,Waterfall,15,50,Nodi Tatishvili & Sophie Gelovani
2013,Belarus,Solayoh,16,48,Alyona Lanskaya
2013,Iceland,Ég Á Líf,17,47,Eythor Ingi
2013,Armenia,Lonely Planet,18,41,Dorians
2013,United Kingdom,Believe In Me,19,23,Bonnie Tyler
2013,Estonia,Et Uus Saaks Alguse,20,19,Birgit
2013,Germany,Glorious,21,18,Cascada
2013,Lithuania,Something,22,17,Andrius Pojavis
2013,France,L'enfer Et Moi,23,14,Amandine Bourgeois
2013,Finland,Marry Me,24,13,Krista Siegfrids
2013,Spain,Contigo Hasta El Final (With You Until The End),25,8,ESDM
2013,Ireland,Only Love Survives,26,5,Ryan Dolan
2014,Austria,Rise Like a Phoenix,1,290,Conchita Wurst
2014,Netherlands,Calm After The Storm,2,238,The Common Linnets
2014,Sweden,Undo,3,218,Sanna Nielsen
2014,Armenia,Not Alone,4,174,Aram MP3
2014,Hungary,Running,5,143,András Kállay-Saunders
2014,Ukraine,Tick - Tock,6,113,Mariya Yaremchuk
2014,Russia,Shine,7,89,Tolmachevy Sisters
2014,Norway,Silent Storm,8,88,Carl Espen
2014,Denmark,Cliche Love Song,9,74,Basim
2014,Spain,Dancing in the rain,10,74,Ruth Lorenzo
2014,Finland,Something Better,11,72,Softengine
2014,Romania,Miracle,12,72,Paula Seling & OVI
2014,Switzerland,Hunter Of Stars,13,64,Sebalter
2014,Poland,My Słowianie - We Are Slavic,14,62,Donatan & Cleo
2014,Iceland,No Prejudice,15,58,Pollapönk
2014,Belarus,Cheesecake,16,43,Teo
2014,United Kingdom,Children of the Universe,17,40,Molly
2014,Germany,Is It Right,18,39,Elaiza
2014,Montenegro,Moj Svijet,19,37,Sergej Ćetković
2014,Greece,Rise Up,20,35,Freaky Fortune feat. RiskyKidd
2014,Italy,La Mia Città,21,33,Emma
2014,Azerbaijan,Start A Fire,22,33,Dilara Kazimova
2014,Malta,Coming Home,23,32,Firelight
2014,San Marino,Maybe (Forse),24,14,Valentina Monetta
2014,Slovenia,Round and Round,25,9,Tinkara Kovač
2014,France,Moustache,26,2,TWIN TWIN
2015,Sweden,Heroes,1,365,Måns Zelmerlöw
2015,Russia,A Million Voices,2,303,Polina Gagarina
2015,Italy,Grande Amore,3,292,Il Volo
2015,Belgium,Rhythm Inside,4,217,Loïc Nottet
2015,Australia,Tonight Again,5,196,Guy Sebastian
2015,Latvia,Love Injected,6,186,Aminata Savadogo
2015,Estonia,Goodbye to Yesterday,7,106,Elina Born & Stig Rästa
2015,Norway,A Monster Like Me,8,102,Mørland & Debrah Scarlett
2015,Israel,Golden Boy,9,97,Nadav Guedj
2015,Serbia,Beauty Never Lies,10,53,Bojana Stamenov
2015,Georgia,Warrior,11,51,Nina Sublatti
2015,Azerbaijan,Hour Of The Wolf,12,49,Elnur Hüseynov
2015,Montenegro,Adio,13,44,Knez
2015,Slovenia,Here for You,14,39,Maraaya
2015,Romania,De La Capăt / All Over Again,15,35,Voltaj
2015,Armenia,Face The Shadow,16,34,Genealogy
2015,Albania,I'm Alive,17,34,Elhaida Dani
2015,Lithuania,This Time,18,30,Monika & Vaidas
2015,Greece,One Last Breath,19,23,Maria Elena Kyriakou
2015,Hungary,Wars For Nothing,20,19,Boggie
2015,Spain,Amanecer,21,15,Edurne
2015,Cyprus,One Thing I Should Have Done,22,11,John Karayiannis
2015,Poland,In The Name Of Love,23,10,Monika Kuszyńska
2015,United Kingdom,Still in Love with You,24,5,Electro Velvet
2015,France,N’oubliez pas,25,4,Lisa Angell
2015,Austria,I Am Yours,26,0,The Makemakes
2015,Germany,Black Smoke,27,0,Ann Sophie
2016,Ukraine,1944,1,534,Jamala
2016,Australia,Sound of Silence,2,511,Dami Im
2016,Russia,You Are the Only One,3,491,Sergey Lazarev
2016,Bulgaria,If Love Was a Crime,4,307,Poli Genova
2016,Sweden,If I Were Sorry,5,261,Frans
2016,France,J'ai Cherché,6,257,Amir
2016,Armenia,LoveWave,7,249,Iveta Mukuchyan
2016,Poland,Color of Your Life,8,229,Michał Szpak
2016,Lithuania,I've Been Waiting for This Night,9,200,Donny Montell
2016,Belgium,What's the Pressure,10,181,Laura Tesoro
2016,Netherlands,Slow Down,11,153,Douwe Bob
2016,Malta,Walk on Water,12,153,Ira Losco
2016,Austria,Loin d'ici,13,151,Zoë
2016,Israel,Made of Stars,14,135,Hovi Star
2016,Latvia,Heartbeat,15,132,Justs
2016,Italy,No Degree of Separation,16,124,Francesca Michielin
2016,Azerbaijan,Miracle,17,117,Samra
2016,Serbia,Goodbye (Shelter),18,115,Sanja Vučić ZAA
2016,Hungary,Pioneer,19,108,Freddie
2016,Georgia,Midnight Gold,20,104,Nika Kocharov & Young Georgian Lolitaz
2016,Cyprus,Alter Ego,21,96,Minus One
2016,Spain,Say Yay!,22,77,Barei
2016,Croatia,Lighthouse,23,73,Nina Kraljić
2016,United Kingdom,You're Not Alone,24,62,Joe & Jake
2016,Czech Republic,I Stand,25,41,Gabriela Gunčíková
2016,Germany,Ghost,26,11,Jamie-Lee Kriewitz
2017,Portugal,Amar Pelos Dois,1,758,Salvador Sobral
2017,Bulgaria,Beautiful Mess,2,615,Kristian Kostov
2017,Moldova,Hey Mamma,3,374,Sunstroke Project
2017,Belgium,City Lights,4,363,Blanche
2017,Sweden,I Can't Go On,5,344,Robin Bengtsson
2017,Italy,Occidentali's Karma,6,334,Francesco Gabbani
2017,Romania,Yodel It!,7,282,Ilinca feat. Alex Florea
2017,Hungary,Origo,8,200,Joci Pápai
2017,Australia,Don't Come Easy,9,173,Isaiah Firebrace
2017,Norway,Grab the Moment,10,158,Jowst
2017,Netherlands,Lights And Shadows,11,150,OG3NE
2017,France,Requiem,12,135,Alma
2017,Croatia,My Friend,13,128,Jacques Houdek
2017,Azerbaijan,Skeletons,14,120,Dihaj
2017,United Kingdom,Never Give Up on You,15,111,Lucie Jones
2017,Austria,Running On Air,16,93,Nathan Trent
2017,Belarus,Historyja Majho Zyccia,17,83,Naviband
2017,Armenia,Fly With Me,18,79,Artsvik
2017,Greece,This is Love,19,77,Demy
2017,Denmark,Where I Am,20,77,Anja
2017,Cyprus,Gravity,21,68,Hovig
2017,Poland,Flashlight,22,64,Kasia Moś
2017,Israel,I Feel Alive,23,39,Imri Ziv
2017,Ukraine,Time,24,36,O.Torvald
2017,Germany,Perfect Life,25,6,Levina
2017,Spain,Do It for Your Lover,26,5,Manel Navarro
2018,Israel,Toy,1,529,Netta Barzilai
2018,Cyprus,Fuego,2,436,Eleni Foureira
2018,Austria,Nobody But You,3,342,Cesár Sampson
2018,Germany,You Let Me Walk Alone,4,340,Michael Schulte
2018,Italy,Non Mi Avete Fatto Niente,5,308,Ermal Meta & Fabrizio Moro
2018,Czech Republic,Lie To Me,6,281,Mikolas Josef
2018,Sweden,Dance You Off,7,274,Benjamin Ingrosso
2018,Estonia,La Forza,8,245,Elina Nechayeva
2018,Denmark,Higher Ground,9,226,Rasmussen
2018,Moldova,My Lucky Day,10,209,DoReDos
2018,Albania,Mall,11,184,Eugent Bushpepa
2018,Lithuania,When We're Old,12,181,Ieva Zasimauskaitė
2018,France,Mercy,13,173,Madame Monsieur
2018,Bulgaria,Bones,14,166,Equinox
2018,Norway,That's How You Write a Song,15,144,Alexander Rybak
2018,Ireland,Together,16,136,Ryan O'Shaughnessy
2018,Ukraine,Under the Ladder,17,130,Mélovin
2018,Netherlands,Outlaw In 'Em,18,121,Waylon
2018,Serbia,Nova Deca,19,113,Sanja Ilić & Balkanika
2018,Australia,We Got Love,20,99,Jessica Mauboy
2018,Hungary,Viszlát Nyár,21,93,AWS
2018,Slovenia,"Hvala, ne!",22,64,Lea Sirk
2018,Spain,Tu Canción,23,61,Amaia & Alfred
2018,United Kingdom,Storm,24,48,SuRie
2018,Finland,Monsters,25,46,Saara Aalto
2018,Portugal,O Jardim,26,39,Cláudia Pascoal
2019,Netherlands,Arcade,1,498,Duncan Laurence
2019,Italy,Soldi,2,472,Mahmood
2019,Russia,Scream,3,370,Sergey Lazarev
2019,Switzerland,She Got Me,4,364,Luca Hänni
2019,Sweden,Too Late for Love,5,334,John Lundvik
2019,Norway,Spirit in the Sky,6,331,KEiiNO
2019,North Macedonia,Proud,7,305,Tamara Todevska
2019,Azerbaijan,Truth,8,302,Chingiz
2019,Australia,Zero Gravity,9,284,Kate Miller-Heidke
2019,Iceland,Hatrið mun sigra,10,232,Hatari
2019,Czech Republic,Friend of a Friend,11,157,Lake Malawi
2019,Denmark,Love Is Forever,12,120,Leonora
2019,Cyprus,Replay,13,109,Tamta
2019,Malta,Chameleon,14,107,Michela Pace
2019,Slovenia,Sebi,15,105,Zala Kralj & Gašper Šantl
2019,France,Roi,16,105,Bilal Hassani
2019,Albania,Ktheju Tokës,17,90,Jonida Maliqi
2019,Serbia,Kruna,18,89,Nevena Božović
2019,San Marino,Say Na Na Na,19,77,Serhat
2019,Estonia,Storm,20,76,Victor Crone
2019,Greece,Better Love,21,74,Katerine Duska
2019,Spain,La Venda,22,54,Miki
2019,Israel,Home,23,35,Kobi Marimi
2019,Belarus,Like It,24,31,Zena
2019,Germany,Sister,25,24,S!sters
2019,United Kingdom,Bigger Than Us,26,11,Michael Rice
